top - 09:42:17 up 23 days,  4:12,  2 users,  load average: 3.87, 3.92, 3.85
Tasks: 187 total,   2 running, 183 sleeping,   0 stopped,   2 zombie
%Cpu(s):  2.3 us,  0.5 sy,  0.0 ni,  1.8 id, 95.2 wa,  0.0 hi,  0.2 si,  0.0 st
MiB Mem :   7823.4 total,    318.5 free,   4214.6 used,   3290.3 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   3258.4 avail Mem

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4821 mysql     20   0  985284 412345  18234 D  99.7   5.1  18:42.33 mysqld
   1204 www-data  20   0  512340 102345  12234 S   0.3   1.3   0:12.45 nginx: worker
    892 root      20   0  182456  28345   8234 S   0.0   0.4   0:05.32 systemd
    923 root      20   0   45678  12345   8234 S   0.0   0.2   0:02.11 sshd
   2341 app       20   0  823412 234567  23456 S   0.0   2.9   0:34.21 java
   2398 app       20   0  823412 234567  23456 S   0.0   2.9   0:12.34 java
   2412 app       20   0  823412 234567  23456 S   0.0   2.9   0:08.43 java
    445 root      20   0   12345   4567   3456 S   0.0   0.1   0:00.45 crond
   1023 root      20   0   56789  12345   8234 S   0.0   0.2   0:01.23 rsyslogd
   3421 nobody    20   0  234567  34567  12345 S   0.0   0.4   0:04.56 httpd
   3422 nobody    20   0  234567  34567  12345 S   0.0   0.4   0:03.21 httpd
   3423 nobody    20   0  234567  34567  12345 S   0.0   0.4   0:02.87 httpd
